little heavy
aesthetics probably

probably made

made thin

thin couldnot

couldnot fit

fit gb

gb ram

ram decent

decent processor

processor canot

canot even

even expand

expand memory

memory least

least get

get better

better processors

processors ram

ram storage

storage space

space expadability/connectivity

expadability/connectivity options

options android

overhyped overrated

overrated overpriced

overpriced ok

ok didnot

didnot buy

buy itis

itis prize

prize friend

friend mine

mine comparing

comparing galaxy

note ii

ii everything

everything exists

exists also

also exists

exists note

ii even

even note

ii much

features people

people say

say best

best itis

itis gimmick

gimmick hype

hype canot

even customize

customize home

home screen

screen like

ii ui

ui simple

simple usual

usual boring

boring grid

grid icons

icons know

know widgets

widgets itis

itis pretty

pretty boring

boring person

person always

always want

want speed

speed ease

ease like

like donot

donot want

want open

open mail

mail app

app checking

checking email

email done

done faster

faster easier

easier widgets

widgets maps

maps app

app sucks

sucks map

map country

country isnot

isnot complete

complete luckily

luckily download

download google

google maps

app store

store signal

signal speaker

speaker weak

weak proximity

proximity sensor

sensor behave

behave weirdly

weirdly g

g sensor

sensor sensitive

sensitive canot

canot transfer

transfer music

music via

via bluetooth

bluetooth buy

buy many

many smarts

smarts better

better cheaper

cheaper i?

life battery

battery died

died brand

brand new

new didnot

didnot last

last full

full years

years apple

apple would

would replace

replace battery

battery wanted

wanted pay

pay going

going back

back android

poor battery

life reception

life horrible

piece garbage

donot like

need batter

batter battery

life free

free apps

hard type

buy something

something else

waist money

unhappy shocked

shocked child

child unhappy

unhappy heats

heats real

real degree

degree use

use heats

heats actually

actually shocked

shocked ten

ten year

year old

old son

son always

always charges

charges freezes

freezes also

also received

received real

real satisfaction

satisfaction tmobile

tmobile even

though customer

customer years

years solution

solution offered

offered refurbished

refurbished even

though purchased

purchased new

new janth

janth less

less two

two months

months ago)

many problems

frustrating ever

ever owned

simple worth

ready prime

prime time

loved first;

first; hate

hate months

trix kids

switching android

coverage problems

signal horrible

worth buying

terrible reception

reception still

still wifi

wifi calling

thought great

great tried

tried new

new androids

i'im longer

longer satisfied

kinda disappointed

could better

great bad

bad battery

many bugs

critically faulty

damage one

one week

satisfied first

first day

day working

working properlynd

properlynd day

day showing

showing sim

sim detected

detected rd

rd day

day using

using time

time overheat

overheat ok

ok slow

slow function

function working

working still

still observing

observing wre

wre problem

problem csest

csest using

canot got

got whatsapp

whatsapp messenger

third party

party app

app supported

system file

file access

access irritating

limited bluetooth

bluetooth use

many extensions

extensions blocked

blocked even

even downloadable

call record

record working

software touch

touch pad

pad working

giving problem

problem always

always freezing

freezing even

even talking

talking haqs

haqs freeze

freeze gone

gone able

faced problem

problem callers

callers canot

canot hear

hear hear

hear everything

camera blank

blank focus

focus properly

buy last

last month

month waste

waste money

buy mobile

total waste

waste frequent

frequent problem

problem touch

screen call

call recording

recording missing

problem camerawhen

camerawhen open

open camera

camera sometimes

sometimes camera

camera itis

itis giving

giving satisfactory

satisfactory service

service customer

customer hidding

hidding terms

terms conditions

conditions offers

verybad junk

using fone

fone months

months i''l

i''l admit

admit battery

life average

average last

last day

day heavy

heavy use

use besides

besides fone

fone everything

everything ease

much disappointed

drains quick

life beautiful

getting hot

hot use

battery get

get drain

drain fast

fast time

time use

noticed within

within first

first hour

hour using

using minute

minute conversation

conversation heated

heated really

really fast

fast friend

friend reported

reported poor

poor sound

sound quality

really slow

slow disappointed

fone short

short specs

specs everything

everything battery

battery isnt

isnt best

best get

get day

day moderate

moderate usage

overheating worst

worst battery

battery backup

life problems

problems arise

arise month

month usage

problem random

random restart

restart shutdown

shutdown day

day dont

dont know

know problem

problem times

day restart

take today

today lte

lte option

option networks

lagingless battery

battery timming

timming heatup

heatup display

display sharp

sharp hurts

hurts eyes

battery taking

taking long

long recharge??

recharge?? hours

drains battery

battery use

use brightness

brightness also

also stanby

stanby time

time bad

bad lose

lose everyhours

battery average

average overheating

overheating happen

happen month

month back

back heating

heating reasonl

reasonl turn

turn stop

stop heating

heating happen

happen often

often play

play heavy

heavy games

hearing sound

sound working

working please

please refund

refund money

money soon

soon possible

heats quite

quite easily

easily iron

iron cloth

cloth battery

battery back

back horrible

horrible g

g hardly

hardly last

last hrs

hrs recommended

donot know

problem selling

selling amazon

amazon received

received yesterday

yesterday full

even month

month stopped

stopped working

working run

run service

service centre

centre itis

itis fixed

fixed itis

itis disappointing

working enabling

enabling disabling

disabling working

working sometimes)speaker

sometimes)speaker working

working product

product hadyr

hadyr warrantythat

warrantythat mean

mean genuine

genuine indian

indian customers

customers apple

apple making

making bad

bad products

products one

one example

rated cheap

cheap would

would thrown

receive order

order time

time good

good condition

condition didnot

didnot check

check properly

properly months

months facing

facing lot

lot problem

problem display

display working

properly speaker

speaker also

also working

working totally

totally disappointed

disappointed product

backup really

really poor

device becomes

becomes hot

hot doubt

doubt authenticity

constantly hanging

hanging getting

getting stuck

stuck touch

screen working

working right

right time

time received

received days

days later

later suddenly

suddenly started

started working

working didnot

didnot complain

complain isnot

isnot working

heats much

much light

light usagecamera

usagecamera worse

worse evenmpbattery

evenmpbattery drains

drains heavily

heavily ios

ios good

product good

good really

really disappointed

disappointed cause

cause heating

much heating

heating problem

problem hanging

hanging issues

issues call

call connecting

connecting issues

bad within

within minutes

minutes mobile

mobile getting

hot want

want replace

replace mobile

problematic already

already taken

taken service

centre placed

placed return

return request

request days

days worked

worked facing

facing problems

problems like

like camera

camera swipe

swipe start

start etc

etc hangs

hangs don?t

don?t know

know amazon

amazon says

says afterdays

afterdays issue

issue need

need reach

reach dealer

dealer directly

directly based

based city

city feel

feel fix

heats like

like anything

anything itis

itis dangerous

dangerous flaw

flaw starts

starts getting

heat hot

hot get

get scared

scared really

disappointed purchase

purchase seemed

seemed like

like faulty

faulty product

screen resolution

resolution good

good compared

body becomes

hot hangs

hangs open

open app

app hanged

hanged rimes

rimes less

less month

month problem

problem software

software everyone

everyone issue

issue seems

seems defective

defective piece

piece sold

sold online

online one

one comes

comes know

know return

return also

also tricky

poor connectivity

connectivity another

another apple

apple device

device network

network show

show different

different signal

